age,annual_income,tenure_months,sessions_30d,support_tickets,country,plan,converted
20,70423.92,40,11,1.0,ES,free,0
39,114199.17,7,10,1.0,TR,pro,0
27,76042.03,67,10,3.0,ES,free,0
28,30325.77,27,13,2.0,CA,starter,0
27,20837.56,56,7,4.0,CA,free,0
70,62318.9,1,13,0.0,NL,pro,0
30,46481.49,7,15,2.0,TR,starter,1
47,34053.81,1,9,0.0,CA,starter,1
56,67208.07,48,14,1.0,NL,starter,1
67,,59,6,1.0,DE,free,1
50,53013.13,60,13,2.0,DE,starter,0
18,34474.25,47,9,0.0,TR,pro,1
60,45636.55,68,13,2.0,NL,pro,1
43,44836.33,15,6,2.0,CA,pro,0
62,70147.88,16,9,2.0,NL,pro,1
51,39775.94,3,18,4.0,TR,starter,0
24,53067.19,6,15,1.0,NL,starter,0
50,86457.38,34,19,3.0,NL,free,0
38,76977.45,71,13,1.0,CA,starter,1
70,43831.83,48,6,2.0,CA,pro,1
38,30294.28,10,6,2.0,ES,free,0
44,32472.73,29,8,1.0,NL,pro,0
59,73427.68,44,11,1.0,CA,free,1
25,50981.17,34,11,4.0,ES,starter,0
56,45391.01,41,13,1.0,TR,free,0
32,59242.89,24,11,1.0,NL,free,0
63,41768.67,33,11,2.0,,pro,1
61,97023.24,67,8,3.0,ES,starter,1
51,90866.39,31,16,0.0,NL,free,1
27,92435.09,3,7,4.0,NL,starter,0
42,107081.55,34,6,2.0,TR,free,0
44,70118.85,29,12,1.0,ES,starter,1
21,78380.45,70,14,5.0,NL,starter,0
43,68783.61,36,11,3.0,NL,free,0
21,65955.43,27,16,1.0,CA,pro,1
62,50815.87,61,14,3.0,ES,starter,0
66,71453.41,52,11,0.0,DE,starter,0
24,79076.2,66,8,1.0,CA,free,0
50,74746.2,53,12,5.0,NL,starter,1
57,96389.59,9,13,3.0,TR,pro,1
58,87545.24,4,10,4.0,CA,pro,0
37,26630.99,47,10,0.0,CA,free,1
28,31195.64,61,19,2.0,NL,starter,1
69,52629.03,30,11,2.0,DE,free,0
24,90555.56,23,8,1.0,ES,starter,0
21,61463.03,1,9,1.0,ES,pro,0
41,77370.12,40,13,0.0,ES,starter,1
43,42027.19,1,10,,CA,free,0
21,80444.28,16,8,1.0,CA,free,0
46,80169.1,16,12,1.0,CA,starter,0
21,98378.22,38,12,0.0,ES,starter,1
32,70663.95,44,14,4.0,TR,free,0
37,74561.51,36,14,1.0,TR,pro,1
66,36546.3,45,8,3.0,ES,free,1
33,104400.72,66,12,0.0,TR,starter,1
41,66785.84,4,8,2.0,DE,starter,0
44,69128.57,12,11,0.0,TR,free,1
32,18000.0,4,21,0.0,ES,pro,0
49,38823.78,17,15,1.0,CA,pro,1
68,62075.04,27,10,2.0,ES,pro,1
34,63101.2,58,2,2.0,NL,pro,0
26,87478.58,9,15,3.0,NL,free,1
64,18000.0,29,12,2.0,NL,starter,1
27,91120.66,14,13,3.0,DE,starter,1
33,84102.86,45,9,3.0,NL,starter,0
22,18000.0,39,12,3.0,ES,starter,0
45,65322.57,12,14,0.0,ES,pro,1
71,78979.03,67,11,0.0,DE,free,1
57,,51,8,2.0,ES,free,1
27,50910.16,34,7,1.0,DE,starter,0
45,77704.52,24,12,1.0,DE,starter,1
24,50743.69,2,18,0.0,TR,free,1
59,72458.64,63,12,3.0,ES,pro,1
58,96795.58,4,7,1.0,CA,starter,0
49,65065.11,58,14,2.0,NL,pro,1
59,18000.0,26,11,1.0,ES,free,1
44,50987.28,50,14,3.0,DE,free,0
29,87752.49,35,12,1.0,NL,starter,1
37,58319.5,22,6,2.0,NL,starter,1
40,69753.79,42,7,1.0,DE,starter,0
30,53322.88,64,7,0.0,CA,free,0
20,57333.1,46,12,1.0,DE,free,1
52,30556.97,5,11,2.0,NL,starter,0
34,48220.31,13,8,0.0,ES,pro,1
51,80783.62,56,13,2.0,TR,free,1
59,55566.72,71,14,2.0,NL,starter,1
65,47692.42,71,12,2.0,TR,free,0
35,30395.66,72,6,3.0,NL,free,0
69,,61,8,2.0,ES,free,1
50,61115.97,63,8,3.0,NL,free,1
