ad_spend,visitors,avg_session_minutes,conversion_rate,email_share,region,season,revenue
15479.55,85203,5.45,0.0373,0.3698,West,Q3,164473.33
14592.07,143968,4.86,0.0477,0.3865,East,Q1,253703.74
15485.99,102152,5.15,0.0344,,North,Q1,149111.66
21594.92,95843,5.58,0.031,0.1293,East,Q2,158923.06
26041.21,94000,3.34,0.017,0.0977,South,Q4,160507.04
18713.75,102504,4.57,0.0204,0.4851,South,Q4,184342.04
19141.14,112130,5.86,0.0333,0.1854,East,Q4,204591.48
30344.4,106249,6.26,0.008,0.3978,South,Q2,133414.76
8034.08,129601,1.81,0.0182,0.6173,South,Q1,119470.88
16318.07,117960,3.93,0.0127,0.3765,South,Q3,104113.03
17555.33,87336,1.33,0.0311,0.1687,East,Q4,120351.56
22685.09,130692,3.2,0.0497,0.1109,South,Q3,237578.35
17570.6,112146,6.78,0.0425,0.5974,East,Q3,227045.23
23912.48,108083,4.57,0.032,0.385,North,Q2,203485.72
27157.86,132342,8.22,0.0269,0.1519,North,Q1,215885.94
9465.16,101877,3.27,0.0336,0.2818,East,Q2,144345.91
19938.42,75912,5.06,0.053,0.3599,South,Q4,203460.72
10433.9,103456,4.14,0.0268,0.5025,South,Q3,144089.5
13721.42,150009,4.51,0.0133,0.2495,North,Q1,129081.69
8711.1,70393,6.68,0.034,0.2016,North,Q3,148167.77
15491.68,81935,2.08,0.0434,0.1497,South,Q1,183155.57
14905.32,77546,1.71,0.0311,0.1626,North,Q4,145416.83
24247.21,69361,5.72,0.0344,0.0565,South,Q1,145820.2
19127.6,105331,2.43,0.0484,0.5288,West,Q2,230800.61
18058.94,101763,6.53,0.0227,0.2846,East,Q1,173718.65
19311.41,84942,2.91,0.0432,0.2417,East,Q1,181518.97
17982.57,62839,4.64,0.036,0.4336,West,Q4,184193.29
15901.16,96162,5.04,0.0214,0.1659,North,Q2,121610.0
13873.97,101820,3.82,0.0211,0.3769,North,Q1,109309.39
13937.28,142475,4.46,0.0393,0.01,East,Q2,199720.73
26603.91,56973,4.95,0.0536,0.2286,South,Q2,171922.64
23007.3,102875,5.0,0.0077,0.1762,South,Q2,127598.15
26029.15,24542,2.83,0.0415,0.2493,South,Q1,130611.3
30335.07,127493,5.09,0.0287,0.3627,West,Q2,206604.7
18046.81,75387,7.4,0.0182,0.4248,West,Q2,169137.19
22206.33,110202,8.37,0.0256,0.6258,East,Q3,183418.42
24048.45,114613,4.25,0.0376,0.4207,West,Q3,216924.37
8463.36,136150,2.61,0.0352,0.3351,South,Q4,149951.09
23511.24,142206,6.16,0.0672,0.2224,East,Q2,299721.9
31472.7,74247,3.86,0.0435,0.5582,East,Q1,205393.39
17673.28,101163,5.08,0.0442,0.2328,North,Q1,186166.84
19899.32,100116,4.43,0.0218,0.3779,North,Q3,135723.36
10113.89,168224,,0.027,0.2179,West,Q2,208982.48
18003.24,45853,6.06,0.05,0.6709,East,Q1,136202.51
20838.45,108538,5.29,0.0326,0.2539,North,Q1,197607.29
33733.98,130102,5.38,0.0381,0.4708,North,Q4,260660.37
15442.34,63956,3.95,0.0352,0.4458,West,Q4,192965.24
19397.78,140149,5.32,0.0119,0.3195,East,Q1,133733.23
17243.26,53728,2.84,0.0225,0.5054,South,Q1,164087.52
13712.08,70370,3.02,0.0209,0.2494,South,Q4,148768.47
17886.71,145313,5.68,0.0254,0.1667,North,Q1,171416.09
17699.55,67756,2.12,0.0394,0.2664,East,Q2,151267.71
19844.79,92866,5.04,0.0434,0.3118,North,Q2,192743.57
10144.0,131738,2.64,0.0244,0.465,South,Q4,127738.94
26363.04,51528,6.22,0.0473,0.4156,South,Q3,188350.04
25058.05,95708,7.16,0.0539,0.3072,South,Q3,239029.23
